Rank,Attraction
1,Zoo Halle (Mountain Zoo)
2,Landesmuseum fuer Vorgeschichte Halle
3,Halloren Schokoladenmuseum
4,Die Neue Residenz
5,Marktkirche Unser Lieben Frauen
6,Roter Turm und Hausmanns Türme
7,Beatles Museum
8,Stiftung Händel-Haus
9,Kunstmuseum Moritzburg
10,Botanischer Garten
11,The Handel Monument
12,Franckesche Stiftungen zu Halle
13,Maya Mare
14,Stadtgottesacker
15,Moritzburg
16,Landgericht Halle
17,Oberburg Giebichenstein
18,Technisches Halloren- und Salinemuseum Halle (Saale)
19,The Gobel Fountain
20,Leipziger Turm
21,Graseweghaus
22,Dom
23,St. Moritzkirche (Church of St. Moritz)
24,Oper Halle
25,Eselsbrunnen
26,Marktschlösschen
27,Kunstverein Talstrasse e.V.
28,Gedenkstätte Roter Ochse
29,Martin Luther Univerisity
30,Stadtmuseum Halle
