Rank,Attraction
1,Battleship North Carolina
2,Airlie Gardens
3,Bellamy Mansion
4,Downtown Wilmington
5,Riverwalk
6,Historic District
7,New Hanover County Arboretum
8,Wilmington Railroad Museum
9,Cape Fear Museum
10,Noni Bacca Winery
11,Cape Fear River
12,Poplar Grove Plantation
13,Cameron Art Museum
14,Jungle Rapids Family Fun Park
15,Sea Turtle Camp
16,Masonboro Island Reserve
17,Wilson Center at Cape Fear Community College
18,The Cotton Exchange
19,Thalian Hall Center for the Performing Arts
20,Wrightsville Beach Brewery
21,Greenfield Park
22,Burgwin-Wright House and Gardens
23,Museum of the Bizarre
24,Halyburton Park
25,Hugh McRae Park
26,Edward Teach Brewing
27,Front Street Brewery
28,Wilmington Oakdale Cemetery
29,Tregembo Animal Park
30,Henrietta III
