Rank,Attraction
1,Saint Basil's Cathedral
2,State Tretyakov Gallery
3,Moscow Metro
4,Moscow Kremlin
5,Red Square
6,Tsaritsyno Museum-Reserve
7,Bolshoi Theatre
8,The Museum of Cosmonautics
9,Armoury Chamber
10,Kolomenskoye Historical and Architectural Museum and Reserve
11,Victory Park
12,Museum of Soviet Arcade Machines
13,Gorkiy Central Park of Culture and Recreation
14,Museum of Human Living Systems
15,Cathedral of Christ the Saviour
16,Moscow-City
17,Experimentanium Science Museum
18,Jewish Museum and Tolerance Center
19,Nikolskaya Ulitsa
20,Observation Deck PANORAMA360
21,Donskoi Monastery
22,Kuskovo Estate
23,New Tretyakov Gallery
24,Cathedral Square
25,Sokolniki Park
26,GUM
27,Museum Moskovskiy Transport
28,Aleksandrovskiy Sad
29,Neskuchny sad
30,Crocus Oceanarium
