Rank,Attraction
1,Cove Island Park
2,Stamford Museum & Nature Center
3,The Palace Theatre
4,The Ferguson Library
5,Half Full Brewery
6,Bartlett Arboretum
7,Mianus River Park
8,Curtain Call
9,Basilica of Saint John the Evangelist Roman Catholic Church
10,"First Presbyterian Church of Stamford, Connecticut"
11,Fort Stamford Park - Goodbody Garden
12,Ukrainian Museum and Library
13,Lock City Brewing Company
14,West Beach
15,Saint Andrew's Episcopal Church
16,Veterans Park
17,Fernando Luis Alvarez Gallery
18,Stamford Historical Society
19,Deadlocked Escape Rooms
20,Avon Theatre Film Center
21,Captain John's Tiki Tours
22,trap't Escape Room Adventures
23,SoundWaters
24,RPM Raceway
25,Connecticut Express Shuttle
26,Bow Tie Cinemas - Majestic 6
27,Chelsea Piers Connecticut
28,United House Wrecking
29,Stamford Town Center
30,The Jerry Springer Show
