Rank,Attraction
1,San Francisco Bay Ferry Vallejo Service
2,Mare Island Museum
3,Six Flags Discovery Kingdom
4,Vallejo Farmers Market
5,Mare Island
6,Empress Theatre
7,Carquinez Bridge
8,Mare Island Naval Shipyard
9,Napa Smith Brewery
10,Vallejo Naval & Historical Museum
11,Mare Island Brewing Co. - Coal Shed Brewery
12,McCune Rare Book and Art Collection
13,Vino Godfather Winery
14,The Landing Craft Support Museum
15,"The Richard ""Fresh Air"" Janson merorial bridge"
16,Napa Valley Chauffeur
17,Napa Valley Vic's Wine Tours
18,Mare Island Golf Club
19,Hiddenbrooke Golf Club
20,Boutique Classique
21,Blue Rock Springs Golf Courses
22,Pomegranate Seeds
23,Town House Tavern
24,Chris' Club
25,mmwinetour
26,H Lounge
27,After Hours Cocktails
28,Mira Theatre Guild
29,US Bloom
30,Savage & Cooke
