Rank,Attraction
1,Sun Studio
2,Graceland
3,National Civil Rights Museum - Lorraine Motel
4,Stax Museum of American Soul Music
5,Memphis Zoo
6,The Peabody Ducks
7,Shelby Farms Park
8,Beale Street
9,Memphis Rock 'n' Soul Museum
10,Slave Haven / Burkle Estate Museum
11,AutoZone Park
12,Memphis Botanic Garden
13,FedExForum
14,Crystal Shrine Grotto
15,Big River Crossing
16,Mud Island River Park
17,The Children's Museum of Memphis
18,Pink Palace Museum
19,Old Dominick Distillery
20,Metal Museum
21,Full Gospel Tabernacle
22,Belz Museum of Asian & Judaic Art
23,Statue of Elvis
24,The Cotton Museum at the Memphis Cotton Exchange
25,Tom Lee Park
26,Blues Hall of Fame Museum
27,Beale Street Landing
28,Woodruff-Fontaine House
29,Levitt Shell
30,Elmwood Cemetery
