Rank,Attraction
1,Sedgwick County Zoo
2,Botanica: The Wichita Gardens
3,Deanna Rose Children's Farmstead
4,Evel Knievel Museum
5,The Keeper of the Plains
6,Old Cowtown Museum
7,Massachusetts Street
8,Kansas Speedway
9,Boot Hill Museum
10,Children's Mercy Park
11,Exploration Place
12,Flint Hills Discovery Center
13,Museum of World Treasures
14,Rolling Hills Zoo
15,Ernie Miller Nature Center
16,The Legends at Village West
17,Strataca
18,Amelia Earhart Birthplace Museum
19,Overland Park Arboretum and Botanical Gardens
20,Frank Lloyd Wright's Allen House
21,Mahaffie Stagecoach Stop & Farm Historic Site
22,Dwight D. Eisenhower Library and Museum
23,Great Plains Nature Center
24,Sternberg Museum of Natural History
25,Booth Family Hall of Athletics
26,Wichita Art Museum
27,Grinter Farms
28,Lee Richardson Zoo
29,C.W. Parker Carousel Museum
30,Field of Legends
