Rank,Attraction
1,SkyTower
2,Glenorchy-Queenstown Road
3,Christchurch Botanic Gardens
4,Wai-O-Tapu Thermal Wonderland
5,Museum of New Zealand Te Papa Tongarewa
6,Otago Peninsula
7,Auckland Botanic Gardens
8,Tamaki Maori Village
9,Roys Peak Track
10,Huka Falls tracks
11,Karekare Beach
12,Milford Sound
13,Te Puia
14,Waimarino Adventure Park
15,TranzAlpine Train
16,Auckland Museum
17,Marine Parade
18,Lake Wanaka
19,"Redwoods, Whakarewarewa Forest"
20,Queenstown Hill
21,Kaikoura Peninsula Walkway
22,Homer Tunnel
23,Lake Taupo
24,Hamilton Gardens
25,Mount Eden
26,Franz Josef Glacier
27,McLaren Falls Park
28,Rotoroa Island
29,Lake Wakatipu
30,Lake Tekapo
