Rank,Attraction
1,Musical Instrument Museum
2,Desert Botanical Garden
3,Camelback Mountain
4,Heard Museum
5,South Mountain Park
6,Piestewa Peak
7,Hole in the Rock
8,Papago Park
9,Chase Field
10,Wrigley Mansion
11,Phoenix Art Museum
12,Echo Canyon Trail and Recreation Area
13,Phoenix Zoo
14,Children’s Museum of Phoenix
15,Dobbins Lookout
16,Mystery Castle
17,Hall of Flame Museum of Firefighting
18,Phoenix Mountain Preserve
19,Pueblo Grande Museum
20,Rosson House Museum
21,Wells Fargo Museum
22,Arizona Science Center
23,Castles N' Coasters
24,Cholla Trail
25,The Phoenix Theatre Company
26,St. Mary's Basilica
27,Ak-Chin Pavilion
28,Arizona Capitol Museum
29,Japanese Friendship Garden of Phoenix
30,Orpheum Theater
