Rank,Attraction
1,Arbor Hills Nature Preserve
2,Oak Point Park & Nature Preserve
3,Historic Downtown Plano
4,Prestonwood Baptist Church
5,The Interurban Railway Museum
6,Crayola Experience Plano
7,Texas Pool
8,Play Street Museum - Plano
9,The Shops at Willow Bend
10,St. Andrew United Methodist Church
11,Bob Woodruff Park
12,Haggard Public Library
13,High Street
14,Granite Park Boardwalk
15,JumpStreet
16,Cheeky Monkeys
17,Chase Oaks Church
18,The Plano Antique Mall
19,Harrington Library
20,Connemara Conservancy
21,ArtCentre of Plano
22,Skypony Gallery
23,Chua Dai Bi
24,Tom Muehlenbeck Recreation Center
25,Courtyard Theater
26,Plano Balloon Festival
27,Calvary Chapel
28,Escape Expert
29,Angelika Film Center & Cafe
30,Go Ape Zipline & Adventure Park
