Rank,Attraction
1,Marienplatz
2,English Garden
3,Nymphenburg Palace
4,Residenz
5,Allianz Arena
6,Viktualienmarkt
7,BMW Museum
8,Olympiapark
9,Alte Pinakothek
10,Oktoberfest
11,St. Peter's Church
12,Munchener Tierpark Hellabrunn
13,New Town Hall (Neus Rathaus)
14,Asamkirche
15,Eisbach Wave
16,BMW Welt
17,NS-Dokumentationszentrum Muenchen
18,Deutsches Museum
19,Olympic Tower
20,Lenbachhaus
21,BMW Headquarters
22,Theresienwiese
23,Rathaus-Glockenspiel
24,Neue Pinakothek
25,Botanischer Garten Muenchen-Nymphenburg
26,Frauenkirche
27,Pinakothek der Moderne
28,Staatliche Museum Ägyptischer Kunst
29,Chinesischen Turm
30,FC Bayern Museum
