Rank,Attraction
1,National Infantry Museum and Soldier Center
2,Columbus Riverwalk
3,National Civil War Naval Museum
4,Columbus Museum
5,Flat Rock Park
6,Coca-Cola Space Science Center
7,Columbus Georgia Convention & Trade Center
8,Columbus Botanical Garden
9,The Lunch Box Museum
10,Georgia Visitor Information Center - Columbus
11,RiverCenter for the Performing Arts
12,Kadie the Cow of Columbus
13,Historic Westville
14,Columbus Visitor's Center
15,Market Days
16,Heritage Corner
17,The Gertrude MA Rainey House & Blues Museum
18,Oxbow Meadows Environmental Learning Center
19,Columbus Fall Line Trace
20,Gallery on 10th
21,Columbus Ice Rink
22,Black Art in America
23,Columbus Civic Center
24,Historic Linwood Cemetery
25,The Bo Bartlett Center
26,173rd Airborne Brigade Memorial
27,Columbus Aquatic Center
28,William L Brown Farm Market
29,Cooper Creek Tennis Center
30,Columbus State University Department of Theater
