Rank,Attraction
1,Ganina Yama Monastery
2,Visotsky Business Center Lookout
3,President Center of Boris Eltsin
4,Dendropark
5,Yekaterinburg State Academical Opera and Ballet Theatre
6,V. Vysotskiy Museum
7,Church on the Blood
8,Yekaterinburg War Memorial
9,Yekaterinburg Museum of Fine Arts
10,Sevastyanov's House
11,"Vaynera Street, Yekaterinburg"
12,Weir on river Iset
13,The Obelisk on the Border Between Europe and Asia
14,Museum of History of Stone-Cutting and Jeweler Art
15,The Church of Ascension
16,New Tikhvin Nunnery
17,Kharitonovskiy Garden
18,Chertovo Gorodische
19,Mall Rainbow Park
20,Park Green Grove
21,Embankment of Working Youth
22,Kolyada Theater
23,1905 Square
24,Yekaterinburg Zoo
25,Sverdlovsk Regional Local Lore Museum
26,Wonder Park Galileo
27,Museum of the Sacred Imperial Family
28,Ural Geological Museum
29,Vodonapornaya Bashnya Na Plotinke Museum
30,Grinvich
