Rank,Attraction
1,Roger Williams Park Zoo
2,Rhode Island School of Design Museum of Art
3,Historic Federal Hill
4,Rhode Island State House
5,Water Place Park
6,Brown University
7,Roger Williams Park
8,Providence Performing Arts Center
9,Benefit Street
10,The Stephen Hopkins House
11,Providence Children's Museum
12,Providence Train Station
13,DePasquale Plaza
14,Providence Athenæum
15,Seastreak Ferry
16,Swan Point Cemetery
17,Providence Place Mall
18,John Brown House Museum
19,Thayer Street
20,India Point Park
21,Roger Williams National Memorial
22,Roger Williams Park Botanical Center
23,The Providence Flea
24,Prospect Terrace
25,Wickenden Street
26,Providence Art Club
27,The Vets
28,Providence College
29,Dunkin' Donuts Center
30,First Baptist Church in America
