Rank,Attraction
1,Plovdiv Old Town
2,Plovdiv Roman Theatre
3,Park Tsar Simeon
4,Alyosha
5,Ethnographic Museum
6,Ancient Stadium of Philippopolis
7,Kapana suberb
8,Regional Archaeological Museum Plovdiv
9,Air Museum Plovdiv
10,Chiesa SS. Constantin e Elena
11,Hisar Kapia
12,Balabanov House
13,Djumaya Mosque
14,Small Basilica
15,Statue of Milyo the Crazy
16,House-Museum Hindlian
17,Regional Natural History Museum of Plovdiv
18,Cultural Center-Museum Trakart
19,Archaelogical Complex Nebet Tepe
20,Sveta Marina Church
21,Singing Fountains
22,Art News Cafe
23,Art Gallery Philippopolis
24,AquaPark Aqualand
25,Zlatyu Boyadjiev Gallery
26,Plovdiv Regional Historical Museum - Bulgarian National Revival Exposition
27,Mall Plovdiv
28,Church of the Holy Mother of God
29,Markovo Tepe Mall
30,Clock Tower
