Rank,Attraction
1,Mike the Tiger's Habitat
2,LSU Tiger Stadium
3,USS Kidd
4,Louisiana's Old State Capitol
5,Louisiana State Capitol
6,LSU Rural Life Museum
7,Capitol Park Museum
8,Magnolia Mound Plantation
9,Louisiana State University
10,Alex Box Stadium/Skip Bertman Field
11,Downtown
12,Knock Knock Children's Museum
13,Baton Rouge Zoo
14,Atchafalaya Basin Bridge
15,The Old Governor's Mansion
16,Blue Bayou Water Park
17,Bluebonnet Swamp Nature Center
18,Three Roll Estate
19,Mall of Louisiana
20,L'Auberge Casino & Hotel
21,Riverfront Plaza
22,LSU AgCenter Botanic Gardens
23,Tin Roof Brewery
24,East Baton Rouge Parish Library
25,Louisiana Art & Science Museum
26,Burden Museum & Gardens
27,Red Stick Farmers Market
28,Theater Baton Rouge
29,University Lake
30,Arsenal Park
