Rank,Attraction
1,National Czech & Slovak Museum & Library
2,Brucemore
3,Czech Village / New Bohemia District
4,NewBo City Market
5,Cedar Rapids Museum of Art
6,Paramount theater
7,Indian Creek Nature Center
8,Grant Wood Studio
9,Cedar River
10,African American Museum of Iowa
11,Bever Park
12,Clock House Brewing
13,Cedar Rapids Public Library
14,McGrath Amphitheatre
15,Masonic Library and Museum
16,Ushers Ferry Historic Village
17,Grant Wood Window in Veteran's Memorial Auditorium
18,Prarie Park Fishery
19,Veterans Memorial Stadium
20,Sac & Fox Trail
21,CSPS
22,Lindale Mall
23,U.S. Cellular Center
24,The History Center
25,Mother Mosque of America
26,Hawkeye Downs Speedway
27,Cedar Rapids Farmers Market
28,Mount Trashmore
29,Westdale Mall
30,Tait Cummins Sports Complex
