Rank,Attraction
1,Ponte de Dom Luís I
2,Cais da Ribeira
3,Douro River
4,Palacio da Bolsa
5,Estadio do Dragao
6,Porto Bridge Climb
7,Mercado Bom Sucesso
8,Torre dos Clérigos
9,Porto Cathedral (Se Catedral)
10,FC Porto Museum
11,Porto Metro
12,Igreja do Carmo
13,Capela das Almas
14,Parque da Cidade do Porto
15,Igreja de São Francisco
16,Ribeira Square
17,Liberdade Square
18,Rua Santa Catarina
19,Casa da Musica
20,Rua das Flores
21,Museu Serralves
22,Church of Santa Clara (Igreja de Santa Clara)
23,Igreja dos Carmelitas
24,Jardins do Palacio de Cristal
25,Farol Molhe do Douro
26,World of Discoveries - Museu Interativo & Parque Temático
27,SEA LIFE Porto
28,Museu de Arte Sacra da Igreja de Santo Ildefonso
29,Mercado do Bolhao
30,Funicular dos Guindais
