Rank,Attraction
1,Wisconsin State Capitol
2,Olbrich Botanical Gardens
3,Henry Vilas Zoo
4,Memorial Union Terrace
5,Madison Farmer's Market
6,Capitol Square
7,State Street & Downtown Madison
8,Chazen Museum of Art
9,Camp Randall Stadium University of Wisconsin
10,University of Wisconsin-Madison Arboretum
11,Kohl Center
12,Madison Children's Museum
13,Lake Mendota
14,University of Wisconsin - Madison
15,Wisconsin Veterans Museum
16,Monona Terrace Community and Convention Center
17,Wisconsin Historical Museum
18,University of Wisconsin Geology Museum
19,Allen Centennial Gardens
20,Tenney Park
21,Madison Museum of Contemporary Art
22,Alliant Energy Center
23,Madison Mallards
24,Ho-Chunk Gaming Madison
25,Vilas Park
26,Olin-Turville Park
27,Lake Monona Shoreline Run
28,Warner Park
29,Elver Park
30,Madison Public Library
