Rank,Attraction
1,Samara Embankment
2,Galileo Park
3,Observation Point
4,Kubychev Square
5,Stalin's Bunker
6,Leningradskaya Street
7,Modernist Style Museum
8,Samara Arena
9,Sculptural Composition Barge Haulers on the Volga
10,Strukovskiy Sad
11,Municipal Museum Cosmic Samara
12,Monument to Prince Grigoriy Zasekin
13,A.Tolstoy's Memorial Estate
14,Krasnaya Glinka SOK Ski Resort
15,Yu. Gagarin Park of Culture and Leisure
16,Samara State Philharmonic Society
17,Iversky Female Monastery
18,the Rook (Ladya)
19,Glory Monument
20,The Temple of George the Victorious
21,Square Aleksandra Pushkina
22,Monument to the invention of the heating battery
23,Samara Aviation and Space Exploration University Museum
24,Il-2 Monument
25,Samara Academic Opera and Ballet Theatre
26,Chapaev monument
27,Roman Catholic Parish of the Sacred Heart of Jesus
28,Rainbow Cultural and Exhibition Center
29,Museum Soviet Union Life
30,Museum of Eldar Ryazanov
