Rank,Attraction
1,McHenry Mansion
2,Gallo Center for the Arts
3,John Thurman Field
4,Great Valley Museum
5,The State Theatre
6,Modesto Historic Graffiti Cruise Route
7,McHenry Museum
8,Tuolumne River Trail
9,Vintage Faire Mall
10,Brenden Theatres
11,Modesto Arch
12,Mistlin Gallery
13,Escape Modesto
14,Exit Escape Room Adventures
15,Boomers
16,Funworks
17,McHenry Bowl
18,Aquatic Dreams Scuba Center
19,Rockin' Jump
20,United  Cab  Co.
21,Bellavagos Day Spa
22,Pottery Magic Modesto
23,Yellow Cab Co
24,Stanislaus River Rafting
25,Rasputin Music
26,Cheroot Lounge
27,Sciabica’s California Olive Oil
28,Board & Brush
29,Diamond Billiards
30,Laser Quest Modesto
