Rank,Attraction
1,Vieux-Lille
2,Grande Place
3,Parc du Heron
4,Palais des Beaux-Arts de Lille
5,"LaM Lille Metropole Musee d'art moderne, d'art contemporain et d'art brut."
6,Lille Zoo
7,Old Stock Exchange
8,L'Hache Prise
9,Stade Pierre Mauroy
10,Librairie Furet du Nord
11,The Citadel
12,Beffroi de l'Hôtel de Ville
13,Parc Naturel Urbain
14,Musee d'Histoire Naturelle de Lille
15,Le Musee de Plein Air
16,Cathedrale de la Treille
17,Lac du Heron
18,Block'Out Lille
19,Musee Hospice Comtesse
20,La Gare Saint Sauveur
21,Taho & Lina
22,Gare Lille Flandres
23,Place aux Oignons
24,La Grande Braderie de Lille
25,Porte de Paris
26,Westfield Euralille
27,Musee de la Poupee et du Jouet ancien
28,Wazemmes Market (Marche de Wazemmes)
29,Musée des Moulins
30,Eglise Saint Maurice
