Rank,Attraction
1,Basilique Notre Dame de la Garde
2,Parc National des Calanques
3,Château d'If
4,Mucem
5,Le Vieux Port
6,The Panier
7,Île de frioul
8,Palais Longchamp
9,Cite Radieuse Le Corbusier
10,Vallon des Auffes
11,Cathedrale de la Major
12,Orange Velodrome
13,Calanque de Sormiou
14,La Méridionale
15,Palais du Pharo
16,La corniche
17,Abbaye Saint Victor
18,Calanque de Morgiou
19,Randonnées théâtrales Marcel Pagnol Cie Dans la cour des Grands
20,Musée d'Histoire de Marseille
21,Parc Borely
22,Centre de la Vieille Charite
23,Les Docks Village
24,OK Corral
25,Le Cours Julien
26,Les Halles de la Major
27,L' Hotel de Ville
28,Musee d'Archeologie Mediterraneenne
29,Gare de Marseille Saint-Charles
30,Frioul If Express
