Rank,Attraction
1,La Vieille Prison de Trois-Rivières
2,Boréalis
3,Our Lady of the Cape Shrine
4,Forges du Saint-Maurice
5,Parc Portuaire
6,Parc de l'île Saint-Quentin
7,Cathedrale de l'Assomption
8,Moulin seigneurial de Pointe-du-Lac
9,Musee Pop
10,Parc Laviolette
11,Bureau d'Information Touristique
12,Musee Des Ursulines
13,Stade Stereo +
14,Les Jardins Dugré
15,Manoir Boucher de Niverville
16,Galerie d'art du Parc
17,Bibliotheque Gatien-Lapointe
18,Salle J.-Antonio Thompson
19,Église Saint-James
20,Hippodrome 3R
21,Pierre Boucher Museum
22,Place Pierre-Boucher Fountain
23,Bibliotheque Maurice-Loranger
24,Musée militaire de Trois-Rivières
25,Salon de jeux de Trois-Rivières
26,Satyre Cabaret Spectacle
27,Centre d'exposition Raymond-Lasnier
28,maison Hertel-de-la fresnier
29,Maison Rocheleau
30,Parc Saint Jean
