Rank,Attraction
1,Bunk'Art 1
2,BunkArt 2
3,Dajti Ekspres “Cable Car”
4,Skanderbeg Square
5,Grand Park (Parku i Madh)
6,House of Leaves
7,Muzeu Historik Kombetar
8,Orthodox Autocephalous Church of Albania
9,Pazari i Ri
10,Skanderbeg Statue
11,National Gallery of Art
12,Et`hem Bey Mosque
13,Toptani Shopping Center
14,Rruga Murat Toptani
15,Enver Hoxha Pyramid
16,Clock Tower
17,"Reja ""The Cloud"""
18,Rinia Park
19,Saint Paul Cathedral
20,TID Tower
21,Peace Bell
22,Tanners' Bridge
23,Postbllok - Checkpoint Monument
24,Great mosque of Tirana
25,Museum of Secret Surveillance
26,Bektashi World Centre
27,Qemal Stafa Stadium
28,Catholic Church of St. Marie
29,Regency Casino
30,Gallery 43
