Rank,Attraction
1,Fenway Park
2,Freedom Trail
3,Museum of Fine Arts
4,Boston Tea Party Ships & Museum
5,North End
6,Boston Public Garden
7,John F. Kennedy Presidential Museum & Library
8,Samuel Adams Brewery
9,Boston Public Library
10,Museum of Science
11,Isabella Stewart Gardner Museum
12,Boston Common
13,USS Constitution
14,Beacon Hill
15,USS Constitution Museum
16,Quincy Market
17,Faneuil Hall Marketplace
18,Newbury Street
19,Back Bay
20,New England Aquarium
21,The Mapparium
22,Boston Children's Museum
23,Old North Church & Historic Site
24,Alumni Stadium
25,HarborWalk
26,Castle Island
27,Bunker Hill Monument
28,New England Holocaust Memorial
29,Arnold Arboretum
30,Charles River Esplanade
