Rank,Attraction
1,Nicolae Romanescu Park
2,Craiova Botanical Garden
3,Craiova's Art Museum
4,Prefecture Square Craiova
5,Electroputere Mall
6,Minerva Hotel & Casino
7,Muzeul Olteniei
8,Ion Oblemenco Stadium
9,Craiova Water Park
10,Craiova Musical Fountain
11,Muzeul Stiintele Naturii Oltenia
12,Piscina Spa Magic Land
13,Biserica Mantuleasa
14,Metropolitan Cathedral of St. Demetrius
15,Filarmonica Oltenia
16,Casa Baniei
17,Tineretului Park
18,Fantana Purcarului
19,Cimitirul Ungureni
20,Biserica Madona Dudu
21,Sala Polivalenta Craiova
22,Tenis Club Lucian Craiova
23,National Theatre Marin Sorescu Craiova
24,Plus Aqua - Spa & Wellness
25,Games District
26,Comitet
27,Scoala de biliard
28,Harmony Wellness Center
29,Oltenia Monuments Association
30,Toska
