Rank,Attraction
1,Chateau d'Angers
2,Terra Botanica
3,Musée Lurçat
4,Jardin des Plantes
5,Maison d'Adam
6,Galerie David d'Angers
7,Office de Tourisme d'Angers
8,Musée des Beaux-Arts
9,Parc de l'Arboretum
10,Musee du Genie Militaire
11,Étang Saint-Nicolas
12,Lac de Maine
13,Place du Ralliement
14,Ancien Couvent de la Baumette
15,Collegiale Saint-Martin
16,L'Atoll
17,Cale de la Savatte
18,Museum des Sciences Naturelles
19,Jardin du Mail
20,Parc de la Garenne
21,Maison des Vins d'Anjou et de Saumur
22,La Maison du Quernon d'Ardoise
23,Giffard
24,Le Grand Theatre
25,La Tour Saint-Aubin
26,Le Quai
27,Église Notre-Dame-des-Victoires
28,Musée ou Logis Pincé
29,The Vine and Wine Museum of Anjou-Saumur
30,Eglise Saint-Laud
