Rank,Attraction
1,Hungarian Parliament Building
2,Halászbástya
3,St. Stephen's Basilica (Szent Istvan Bazilika)
4,Danube River
5,Buda Castle
6,Shoes on the Danube Bank
7,Margaret Island
8,Gellert Hill
9,Széchenyi Lánchíd
10,Matthias Church
11,Varhegy
12,Budapest Pinball Museum
13,Heroes' Square
14,3d Gallery Budapest
15,Hospital in the Rock Nuclear Bunker Museum
16,Citadel
17,Great / Central Synagogue (Nagy Zsinagoga)
18,Chocolate Museum
19,Vajdahunyad Castle (Vajdahunyadvar)
20,Budapest Zoo & Botanical Garden
21,Aeropark Budapest
22,Music Fountain
23,Gozsdu Udvar
24,Palatinus Strand
25,Tram Number 2
26,Holocaust Memorial Center
27,Hungarian National Gallery (Magyar Nemzeti Galéria)
28,Central Market Hall
29,Liberty Statue
30,Szimpla Sunday Farmers' Market
