Rank,Attraction
1,Point Defiance Park
2,Chihuly Bridge of Glass
3,LeMay - America's Car Museum
4,Museum of Glass
5,5 Mile Drive & Trails
6,Point Defiance Zoo & Aquarium
7,LeMay Collections at Marymount
8,Washington State History Museum
9,Cheney Stadium
10,Tacoma Art Museum
11,Tacoma Narrows Bridge
12,Owen Beach
13,Ruston Way Park
14,Stadium High School
15,Union Station
16,Tacoma Chinese Reconciliation Park
17,Tacoma Dome
18,Titlow Park
19,I Love Kickboxing
20,Wright Park
21,Children's Museum of Tacoma
22,W.W. Seymour Botanical Conservatory
23,Emerald Queen Casino
24,Jozee Rooz Indoor Petting Zoo
25,7 Seas Brewery & Taproom
26,Foss Waterway Seaport
27,Odd Otter Brewing Company
28,Karpeles Manuscript Library Museum
29,Pantages Theater
30,Greater Tacoma Convention Center
