Rank,Attraction
1,Depaldo Stone Steps
2,Chekhov's Shop
3,Gorky Park
4,Chekhov House Museum
5,Primorskiy Park
6,The Taganrog Drama Theater Named After Anton Chekhov
7,Chekhov Literature Museum
8,Taganrog City Art Gallery
9,Central Market
10,Church of St. Nicholas
11,Ranevskaya's House
12,Statue of Peter The Great
13,Sculpture Egyptian Pyramid
14,Taganrog City Architectural Development Museum
15,The Cell of St. Pavel
16,Taganrog Museum of Local Lore
17,Ancient Sundial
18,Mall Marmelad
19,Anatoly Durov Museum
20,"Taganrog State Literary, Historical and Architectural Museum"
21,The Man in a Case Sculpture
22,Round House
23,Monument to Alexander I
24,Monument Locomotive
25,Young Reader Sculpture
26,Grecheskaya Street
