Rank,Attraction
1,Scenic Drive - Overlook
2,Franklin Mountains State Park
3,Hueco Tanks State Historic Site
4,The Plaza Theatre
5,Fort Bliss and Old Ironsides Museums
6,El Paso Zoo
7,El Paso Museum of Art
8,El Paso Mission Trail
9,El Paso Holocaust Museum and Study Center
10,National Border Patrol Museum
11,San Jacinto Plaza
12,Magoffin Home State Historic Site
13,El Paso Museum of Archaeology
14,El Paso Municipal Rose Garden
15,Don Haskins Center
16,Chamizal National Memorial
17,El Paso Downtown Artist and Farmer's Market
18,Western Playland Amusement Park
19,El Paso Museum of History
20,Cielo Vista Mall
21,St. Patrick Cathedral
22,"Surreal Art Sculpture Garden, Ho Baron, Artist"
23,Sun Bowl Stadium
24,Concordia Cemetery
25,Ascarate Park
26,Wet 'N' Wild Waterworld
27,Thousand Steps Trail
28,H & H Car Wash and Coffee Shop
29,McKelligon Canyon
30,International Museum of Art
