Rank,Attraction
1,Markthal
2,Rotterdam Zoo
3,Rotterdam Centraal Station
4,Erasmus Bridge
5,Euromast Tower
6,Kunsthal Rotterdam
7,Delfshaven
8,Witte de Withstraat
9,Maritime Museum Rotterdam
10,Miniworld Rotterdam
11,Museum Boijmans Van Beuningen
12,Old Harbour
13,Huis Sonneveld
14,Theme Park Plaswijckpark
15,FutureLand
16,Stadium Feijenoord (De Kuip)
17,Het Park
18,Wilhelminapier
19,Dutch Pinball Museum
20,Kijk-Kubus
21,Witte Huis
22,De Rotterdam
23,Grote of Sint-Laurenskerk
24,Natural History Museum
25,Trompenburg Gardens & Arboretum
26,De Rotterdam Steam Ship
27,The Destroyed City
28,Kaapse Brouwers
29,City Hall Rotterdam
30,Oude Binnenweg
