Rank,Attraction
1,Farmington River Trail
2,Mystic Seaport Museum
3,Yale University
4,The Mark Twain House & Museum
5,Merritt Parkway
6,Farmington River
7,Yale University Art Gallery
8,Mashantucket Pequot Museum & Research Center
9,Urban Lodge Brewing
10,Cove Island Park
11,Cross Sound Ferry Lighthouse Cruises
12,Stamford Museum & Nature Center
13,Foxwoods Resort Casino
14,Walnut Beach
15,Farmington Valley Greenway
16,Wadsworth Atheneum Museum of Art
17,Sheffield Island Lighthouse
18,The Maritime Aquarium
19,Silver Sands State Park
20,The Submarine Force Museum
21,Mohegan Sun Arena
22,Tanger Outlets Foxwoods
23,Tarrywile Park & Mansion
24,Grand Theater at Foxwoods
25,Mohegan Sun
26,Stepping Stones Museum for Children
27,Seaside Park
28,Housatonic River
29,The Palace Theatre
30,Yale Peabody Museum of Natural History
