Rank,Attraction
1,Beach Yagrinskiy
2,Severodvinsk City Local Lore Museum
3,Sevmashpredpriyatiye Museum
4,Embankment of Aleksandr Zryachev
5,War Memorial Complex Sorrow Motherland
6,The Memorable Sign to Richard Chensleru
7,Park of Culture and Leisure
8,Victory Square
9,Sculpture Peace and Labor
10,Nikolo-Korelskiy Monastery
11,Church in Honor of Vladinir Icon of Our Lady
12,Cemetery of Navy Sailors
13,Church in Honor of St. Nicholas
14,Severodvinsk City Drama Theater
15,Eternal Flame
16,Chapel of Prince Alexander Nevskiy
17,Church of the Resurrection
18,Parish Church of Saints Cyril and Methodius Slovenian Teachers
19,Sever
20,Monument Zryachevu
21,Lomonosov Statue
22,Veteranov Park
23,St. Nicholas Cathedral
24,Paddle Steamer N. V. Gogol - Day Tours
25,Stroika
26,Rossiya
27,Tea Club Polnaya Chasha
28,Chas Na Vykhod
29,Tavro
30,Ironiya Sudby
