Rank,Attraction
1,Peninsula of Magdalena
2,Playa Primera de El Sardinero
3,Palacio Real de La Magdalena
4,Parque de Cabo Mayor
5,Playa de El Puntal
6,Museo Maritimo del Cantabrico
7,Prehistory and Archaeology Museum of Cantabria
8,Centro Botín
9,Funicular del Río de la Pila
10,Playa de Matalenas
11,Mercado de la Esperanza
12,Monumento a Los Raqueros
13,Gran Casino Sardinero
14,Jardines de Piquío
15,Puerto Chico
16,Ermita de la Virgen del Mar
17,Parque de Matalenas
18,Catedral de Santander
19,Refugio Antiaéreo
20,Playa del Camello
21,Mercado del Este
22,Edificio del Banco Santander
23,Plaza Porticada
24,Centro de Arte Faro Cabo Mayor
25,Playa de Los Bikini
26,Parque de las Llamas
27,Brittany Ferries
28,Jardines de Pereda
29,Sacred Heart Church
30,Parroquia Santisimo Cristo
