Rank,Attraction
1,Bratislava Old Town
2,Demanovska Cave of Liberty
3,St Elizabeth's Cathedral (Dóm Svätej Alzbety)
4,Devin Castle
5,Zoo Kontakt
6,Zelené pleso
7,Jasna Nizke Tatry
8,Poprad Tourist Information Center
9,Kosice  Historical Centre
10,Aquapark Tatralandia
11,Kalvária
12,Church of St. Egidius
13,SNM - Bojnice Castle Museum
14,Tatra Gallery
15,Stary Smokovec–Hrebienok funicular
16,Square of st. Egíd
17,Nitra Castle
18,Lietava Castle
19,Liptovska Mara
20,Singing fountain
21,The Slovak Museum of Nature Protection and Speleology
22,Tatras National Park
23,Cold Water Waterfall
24,Banka Lásky
25,Muzeum Zdiarsky Dom
26,Zoo Kosice
27,Strbske Pleso
28,Museum of the Slovak National Uprising
