Rank,Attraction
1,Monastery of st Ipaty
2,Museum of Wooden Architecture
3,Dom Gorodskogo Golovy Botnikova Museum
4,Cheese Museum
5,Trade rows
6,Epiphany Monastery of St. Anastasia
7,Les-Chudodey Museum
8,Susaninskaya Square
9,The Resurrection Church on the Debra
10,Museum of Flax and Bark
11,Museum Petrovskaya Igrushka
12,Sweets Museum Russkiye Slasti
13,Fire Tower
14,Terem Snegurochki
15,Monument to the Dog
16,Jewelry Art Museum Ametist
17,Zoo Park in Kostroma
18,Kostroma Exotarium
19,Nature Museum of The Kostroma Region
20,Theatrical Costume Museum
21,Museum The Provincial City of Kostroma
22,The Kostroma State Drama Theater of A. Ostrovskiy
23,Museum of the Kostroma Merchant
24,Ivan Susanin Monument
25,Ostrovsky's Pavilion
26,Lenin Monument
27,Monument to Cats and Dogs Affected by Cars
28,Yuriy Dolgorukiy Monument
29,Monument to the Snow Maiden
30,Kostroma State Historical-Architectural and Art Museum-Reserve
