Rank,Attraction
1,Anfield Stadium
2,Royal Albert Dock Liverpool
3,Liverpool Cathedral
4,Museum of Liverpool
5,Beatles Statue
6,The Beatles Story
7,Western Approaches Museum - The Battle of the Atlantic Experience
8,Merseyside Maritime Museum
9,Liverpool Central Library
10,British Music Experience
11,St Johns Beacon
12,World Museum
13,Pier Head
14,Goodison Park
15,Mathew Street
16,Speke Hall
17,St. George's Hall
18,Walker Art Gallery
19,Liverpool ONE
20,Black Lodge Brewery
21,Sefton Park
22,Casbah Coffee Club
23,Royal Liver Building 360
24,Williamson’s Tunnels – Friends of Williamson’s Tunnels
25,Metropolitan Cathedral of Christ the King Liverpool
26,Liverpool Beatles Museum
27,Mendips - John Lennon Home
28,Royal Liver Building
29,International Slavery Museum
30,Strawberry Field
