Rank,Attraction
1,Lagoon Valley/Pena Adobe Regional Park
2,Vacaville Premium Outlets
3,Andrews Park
4,Morningsun Herb Farm
5,Al Patch Park
6,Brazelton Ranch
7,Vacaville Vintage Market
8,Alamo Creek Bike Trail
9,Nut Tree Family Park
10,Jimmy Doolittle Center
11,Vacaville Museum
12,Vacaville’s Imagine That!
13,Vaca Valley Bingo
14,Brenden Vacaville 16
15,Consolidated Rock & Mineral Shop
16,Nut Tree Plaza
17,Beat the Room
18,Premier Day Spa
19,Savers
20,Jack Hume Grove
21,Outer Limits Virtual Reality
22,Vacaville Ice Sports
23,Bounty Books
24,Miss Darlas
25,Menagerie Hill Ranch
26,Stars Recreation Center
27,In-Shape Gym
28,Clipper Cargo
29,Green Tree Golf Club
30,Ammunition Supply Point
