Rank,Attraction
1,Church of St. John the Warrior
2,Singing Fountain
3,Gagarin City Park
4,Planetarium
5,Kuznetsk Fortress Historical and Architectural Museum
6,Kuznetsk Fortress Historical Architechtural Museum
7,Lesnaya Respublika
8,Cathedral of The Nativity
9,Dostoevsky Memorial Literature Museum
10,Geological Museum
11,Touching Zoo Zhivaya Skazka
12,Novokuznetsk Drama Theater
13,Chapel in Honor of St. George the Mortyr
14,Museum Retro Park
15,Transfiguration Cathedral
16,Novokuznetsk Town Museum of Local Lore
17,Alyuminshhik
18,Monument to V. V. Mayakovsky
19,Monument 50 Years of the USSR
20,Novokuznetsk Art Museum
21,Chulpan Mosque
22,Skaz Novokuznetsk Puppet Theater
23,Sedmoe Ytro Musical Theater
24,Cheryomushki
25,Sokolinaya Gora
26,Vodny Park of Culture and Leisure
27,Novoiliynskaya Small Ice Arena
28,Theater of Metallurgists
29,Studencheskaya Naberezhnaya
30,Levoberezhny Beach
