Rank,Attraction
1,muZIEum
2,Grote Markt
3,Lange Hezelstraat
4,Nijmegen
5,Kronenburgerpark
6,Valkhof Park
7,Stevenskerk
8,de Bastei
9,Velorama National Bicycle Museum
10,Museum Het Valkhof
11,Goffertpark
12,Speeltuin de Leemkuil
13,Natuur-reservaat Ooijpolder-De Vlietberg Nijmegen
14,De Waagh
15,Waalbrug
16,Petrus Canisiuskerk in Nijmegen
17,Rijksmonument Latijnse School Nijmegen uit 1544
18,Kinderboerderij de Goffert
19,Rijksmonument Barbarossa-ruine of ruine apsis Sint-Maartenskapel
20,Stadhuis
21,Rijksmonument Valkhofkapel of Sint-Nicolaaskapel
22,Goffertstadion
23,Wandelbrug Ooijpoort
24,Valkhofbunker
25,HonigComplex
26,Het Hunnerpark Nijmegen
27,Speeltuin Brakkefort
28,Rijk van Nijmegen Tourist Office
29,Triavium
30,Museum de Stratemakerstoren
