Rank,Attraction
1,Le Capitole
2,Basilique Saint-Sernin
3,Jardin Japonais
4,Church of Les Jacobins
5,Museum of natural History
6,Pont Neuf
7,Couvent des Jacobins
8,Theatre du Capitole
9,Quai de la Daurade
10,Jardin des Plantes
11,Musee des Augustins
12,Cite de l'espace
13,Fondation Bemberg
14,Garonne
15,Hotel d'Assezat
16,Cathédrale St-Étienne
17,Musee Saint-Raymond
18,Canal de Brienne (Le)
19,Halle de La Machine
20,Musee Georges Labit
21,Jardin du Grand Rond
22,Chapelle des Carmelites
23,Casino Barrière Toulouse
24,Les Abattoirs
25,Espace EDF Bazacle
26,Marche des Carmes
27,Musee Departemental de la Resistance & de la Deportation
28,Jardin Raymond VI
29,Stadium Municipal de Toulouse
30,Galeries Lafayette Toulouse Lapeyrouse
