Rank,Attraction
1,Tallinn Old Town
2,AHHAA Science Centre
3,Parnu Beach Promenade
4,Alpakafarm
5,Lennusadam Seaplane Harbour
6,Narva Castle
7,Tartu Old City
8,Estonian National Museum
9,Kuressaare Castle
10,Narva River Promenade
11,Toompea Hill
12,Haapsalu Old Town
13,Fama Centre
14,Narva Joesuu
15,Haapsalu Castle
16,Pühtitsa Stavropegial Holy Dormition Monastery
17,Rakvere Castle
18,Aleksander Nevski Katedraali
19,Tervise Paradiis Water Park
20,Lottemaa
21,Typa
22,Saaremaa Museum
23,The Parnu Jetty
24,Tartu University Botanical Garden
25,Kadriorg Park
26,Vihula Manor
27,Tallinna Raekoja Plats
28,Tartu Toy Museum
29,Ruins of the Viljandi Order Castle
30,Prison Escape
